SeqNo,CreationTime,CreatorUserId,LastModificationTime,LastModifierUserId,Transfer,StdKey,StdId,StdName,StdNameEng,StdStatus,StdInnerKind,EntryYear,EntrySemester,EntryClassId,ClassId,Sex,Birthday,IdNo,BirthState,BirthCity,NationId,NativeGroup,ResidenceId,EntryStatus,EntryExam,EntryJobStatus,SpecialStatus,DegreeStatus,MillityId,EequalEdu,Tel,Email,Email2,CellPhone,PermanentZip,PermanentAddr,MailingZip,MailingAddr,BeforeGradSchool,BeforeGradYearMonth,BeforeGradDept,BeforeGradDocNo,BeforeEduCode,BeforeFreshGrad,ParentName,ParentJob,ParentRelation,ParentZip,ParentAddr,ParentTel,ParentCellPhone,GradDocNo,GradYearMonth,GradYear,GradSms,EntryExamNo,EntryCheckIn,EnrollType,EnrollSource,BankAccountNo,BankNo,BankName,BankId,BankOfficeId,BankAccount,BankAccountName,BankAccountRelation,Memo,UnitSection,ScoreLock,ScoreUnlockId,ScoreUnlockTime,EnglishPass,UpdateId,UpdateTime
1,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,1,StdId-1,小華,小華_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-2,A,高雄,TW,??,NULL,01,13,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-2,學生A,學生A_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-3,A,高雄,TW,??,NULL,02,01,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-3,學生B,學生B_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-4,A,高雄,TW,??,NULL,03,09,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2020-10-01 00:00:00.0000000,NULL,2020-10-04 18:57:49.2768709,1,1,3,StdId-4,學生C,學生D_English,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-5,A,高雄,TW,??,NULL,04,21,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2020-10-01 00:00:00.0000000,NULL,2020-10-04 18:57:57.7392978,1,1,3,StdId-5,學生D,學生A_English,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-24,A,高雄,TW,??,NULL,05,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-6,XXXX,小明123_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-29,A,高雄,TW,??,NULL,06,11,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-29,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-7,小明123,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-32,A,高雄,TW,??,NULL,07,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-32,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-8,學生111,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-33,A,高雄,TW,??,NULL,08,03,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-33,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-9,SAGDSGSG,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-34,A,高雄,TW,??,NULL,09,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-34,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-10,ZCCZCZC,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-35,A,高雄,TW,??,NULL,10,01,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-35,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
